House of Jealous Lovers,The Rapture,0.00024,0.747,307680,0.74,0.369,1,0.0995,-4.134,1,0.0323,130.031,0.77
Bang That,Disclosure,0.00041,0.731,324541,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,0.622
Girlfriend,Ty Segall,0.000596,0.224,132760,0.925,0.00000135,11,0.0663,-1.71,0,0.0834,138.022,0.364
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,0.000702,0.854,249253,0.719,0.308,10,0.428,-9.335,0,0.0655,128.049,0.471
Versace Python,Riff Raff,0.00156,0.624,183000,0.792,0.00000154,10,0.0772,-5.33,0,0.0473,139.94,0.318
Fantastic Man,William Onyeabor,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,0.947
Digital Animal,Honey Claws,0.00208,0.836,226840,0.603,0,7,0.571,-7.792,1,0.237,99.994,0.386
This Ready Flesh,TR/ST,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,0.795
Monster,Kanye West,0.00243,0.621,378893,0.683,0.00856,11,0.525,-5.619,0,0.242,124.283,0.0891
I Don't Sell Molly No More,ILoveMakonnen,0.00356,0.76,186122,0.402,0,8,0.333,-8.751,1,0.164,147.028,0.069
Sneakin’,Drake,0.00479,0.804,251333,0.56,0,8,0.164,-6.682,1,0.185,85.023,0.264
Return Of The Mack - C & J Street Mix,Mark Morrison,0.00631,0.715,213093,0.833,0,2,0.164,-5.379,1,0.108,95.487,0.607
Milly Rock,2milly,0.00791,0.45,220934,0.449,0,2,0.173,-12.037,1,0.156,135.45,0.137
Mask Off,Future,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,0.286
45118,Beyoncé,0.0128,0.747,213507,0.705,0,9,0.126,-5.137,0,0.126,136.024,0.571
Childs Play,Drake,0.0145,0.739,241400,0.472,0.00000727,1,0.207,-11.204,1,0.156,80.03,0.308
Char,Crystal Castles,0.018,0.646,188333,0.837,0.0403,6,0.316,-6.615,1,0.134,100.04,0.32
Char,Crystal Castles,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,0.317
Gyöngyhajú lány,Omega,0.0202,0.266,349667,0.348,0.664,10,0.16,-11.609,0,0.0371,144.154,0.393
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,0.0219,0.897,285240,0.642,0.00000131,2,0.159,-8.828,1,0.0534,127.984,0.27
World In Motion,New Order,0.0239,0.603,270827,0.955,0.0451,1,0.119,-4.111,1,0.0458,123.922,0.773
C O O L - Radio Edit,Le Youth,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,0.763
Hercules,Young Thug,0.0324,0.742,280831,0.559,0,5,0.0987,-5.876,1,0.141,146.923,0.429
Xanny Family,Future,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,0.173
Best Friend,Young Thug,0.0358,0.959,213000,0.598,0,8,0.358,-5.534,1,0.0713,127.029,0.424
Check,Young Thug,0.0428,0.667,230693,0.581,0,0,0.183,-5.164,0,0.323,110.953,0.372
I've Seen Footage,Death Grips,0.0481,0.603,202853,0.944,0,11,0.342,-3.626,0,0.347,130.035,0.398
Look Alive,Rae Sremmurd,0.0516,0.782,228562,0.572,0,4,0.33,-7.467,0,0.0385,120.021,0.237
Jumpman,Drake,0.0565,0.853,205879,0.547,0,1,0.341,-7.535,1,0.194,142.065,0.677
Subways - In Flagranti Extended Edit,The Avalanches,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,0.524
Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,0.642
Right Place Wrong Time,Dr. John,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,1,0.0456,104.593,0.832
Imma Ride,Young Thug,0.118,0.854,287086,0.401,0,9,0.527,-8.553,1,0.395,139.922,0.441
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,0.118,0.805,232880,0.687,0,9,0.0842,-7.771,1,0.0458,119.999,0.683
Somebody's Watching Me,Rockwell,0.135,0.777,237187,0.591,0.000055,1,0.126,-7.431,0,0.0327,124.111,0.848
Parallel Lines,Junior Boys,0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,0.904
Odofo Nyi Akyiri Biara,Ebo Taylor,0.183,0.716,576888,0.957,0.058,3,0.182,-4.814,1,0.0689,106.714,0.93
Redbone,Childish Gambino,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,0.588
One Nation Under a Groove,Funkadelic,0.233,0.789,447907,0.659,0.00049,4,0.184,-12.654,0,0.0429,122.415,0.842
Cemalim,Erkin Koray,0.253,0.603,356973,0.434,0.0619,0,0.108,-11.062,1,0.0342,127.681,0.381
If I Gave You My Love,Myron & E,0.279,0.512,203400,0.564,0.0000154,10,0.133,-5.892,1,0.0316,94.498,0.401
Please Stop Making Fake Versace,Father,0.282,0.735,186096,0.4,0.125,1,0.0811,-12.766,1,0.102,129.004,0.326
Poppin' My Collar,Three 6 Mafia,0.297,0.722,175613,0.823,0,7,0.489,-3.916,1,0.081,148.23,0.855
Bouncin,Chief Keef,0.314,0.713,195429,0.611,0,1,0.117,-6.702,0,0.241,140.061,0.783
Lose My Mind,A-Trak,0.341,0.411,199500,0.684,0.00000142,11,0.198,-6.889,0,0.383,110.016,0.598
One Night,Lil Yachty,0.366,0.762,243270,0.476,0,0,0.103,-12.686,1,0.114,130.007,0.367
Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,0.375,0.796,252547,0.86,0.00457,5,0.0745,-6.202,0,0.0653,129.008,0.973
Oh lala,PNL,0.44,0.662,247288,0.603,0,9,0.0972,-8.317,0,0.0793,125.011,0.351
OOOUUU,Young M.A.,0.533,0.64,234526,0.819,0,7,0.156,-4.108,1,0.455,166.012,0.624
Master Of None,Beach House,0.604,0.494,199413,0.338,0.51,5,0.0922,-15.236,1,0.0261,86.468,0.23
