track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Don't Know Why - Piano Instrumental,Attila Fias,0.903,0.332,176899,0.313,0.823,5,0.101,-14.987,1,0.0672,210.977,0.281
Even If It Breaks Your Heart,Eli Young Band,0.000159,0.495,220520,0.527,0.0163,0,0.1,-4.742,1,0.0351,208.067,0.574
Telegram,Alexandre Desplat,0.924,0.3,109827,0.31,0.891,5,0.0835,-15.589,1,0.0418,207.111,0.103
Anything Could Happen,Ellie Goulding,0.411,0.52,286322,0.775,0,0,0.157,-4.174,1,0.0554,206.097,0.401
A Catalogue Of Afternoons,Max Richter,0.996,0.124,110880,0.0924,0.848,11,0.0935,-31.726,1,0.0412,205.999,0.135
Drunk On A Plane,Dierks Bentley,0.00495,0.423,254467,0.73,0.0000113,9,0.238,-5.566,1,0.032,205.972,0.66
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,0.875,0.582,188238,0.272,0,2,0.13,-5.662,1,0.0501,205.846,0.354
Honey Bee,Blake Shelton,0.00167,0.481,210720,0.849,0.00000149,4,0.121,-5.131,1,0.0385,205.57,0.723
Bop-Be,Keith Jarrett,0.735,0.26,416880,0.423,0.331,5,0.303,-18.471,1,0.0602,204.034,0.493
About You,Trey Songz,0.0959,0.582,196900,0.564,0,0,0.26,-4.066,0,0.0837,204.002,0.718
Commando,King Promise,0.112,0.708,169413,0.507,0.0133,6,0.0505,-8.47,1,0.0929,203.983,0.751
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",0.00552,0.745,237240,0.346,0,1,0.0881,-7.709,1,0.331,203.911,0.112
Drunk Girl,Chris Janson,0.794,0.485,207267,0.306,0,0,0.122,-8.431,1,0.0409,203.729,0.224
For Metal,Arkham Witch,0.000104,0.268,319307,0.95,0.088,4,0.0645,-4.793,1,0.11,202.873,0.422
Punk Is Dead - Live,Crass,0.0184,0.194,118813,0.984,0.00263,10,0.892,-4.608,1,0.147,202.308,0.34
Man In The Mirror,Adam Levine & Javier Colon,0.236,0.497,202400,0.797,0.00000286,7,0.143,-3.619,1,0.0392,202.09,0.397
It's The Most Wonderful Time Of The Year,Andy Williams,0.766,0.24,151933,0.598,0,7,0.117,-8.435,1,0.037,202.082,0.776
That's My Girl,Fifth Harmony,0.0358,0.596,204013,0.851,0.0000319,5,0.365,-4.245,0,0.121,202.049,0.612
Pure Water,Mustard & Migos,0.174,0.682,192471,0.559,0,0,0.344,-5.545,1,0.127,202.015,0.137
The Motto,Drake Featuring Lil Wayne,0.000107,0.766,181573,0.442,0.0000612,1,0.111,-8.558,1,0.356,201.8,0.39
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,0.0239,0.469,203400,0.638,0.000652,6,0.29,-5.928,1,0.0317,201.49,0.404
Lycanthro Punk,Wolfpack,0,0.155,163667,0.989,0.912,0,0.244,-4.43,1,0.102,200.541,0.114
Dirty Laundry,Carrie Underwood,0.0595,0.456,204093,0.874,0.0000112,10,0.111,-4.129,0,0.114,200.179,0.5
Blood For Blood Master,Mastic Scum,0.0000177,0.419,218985,0.879,0.353,5,0.367,-11.433,1,0.063,200.128,0.188
Thrash Assault,Assaulter,0.0000236,0.168,325217,0.996,0.625,4,0.18,-3.802,0,0.293,200.007,0.123
Leader of the Titans,Mors Principium Est,0.00000837,0.328,323547,0.994,0.819,4,0.34,-2.513,1,0.103,199.995,0.242
Everyday Is Christmas,Do,0.036,0.475,233933,0.811,0.00000655,11,0.532,-4.499,0,0.0972,199.984,0.682
